town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Garwood,Spring,20,20,687000,700000,5.45,35250,4.05,27965,35.0,56,
Garwood,Summer,11,11,635000,650000,0.55,4500,0.14,373,45.5,65,
Garwood,Winter,9,9,750000,775000,0.2,1000,1.89,15389,33.3,48,yes
Gillette,Fall,9,9,749000,740000,0.0,0,0.82,11625,66.7,71,yes
Gillette,Spring,24,24,652000,692500,6.84,49000,5.1,39321,29.2,63,
Gillette,Summer,12,12,624250,650000,5.46,33750,4.39,37333,41.7,62,
Gillette,Winter,4,4,649700,651750,1.12,5050,1.83,20525,50.0,133,yes
Glen Ridge,Fall,19,15,999000,1275000,25.13,256000,19.56,270067,13.3,54,
Glen Ridge,Spring,63,52,999000,1275000,22.27,216250,21.13,217768,9.6,59,
Glen Ridge,Summer,23,22,787000,890000,14.95,95500,18.09,152399,9.1,56,
Glen Ridge,Winter,27,24,799500,995000,24.44,246000,23.18,251687,12.5,53,
Glen Rock,Fall,10,10,919000,1076000,10.45,98500,12.38,117300,0.0,58,
Glen Rock,Spring,24,24,930000,1115760,16.09,136000,17.44,167659,0.0,59,
Glen Rock,Summer,17,17,979000,1150000,6.01,51000,7.83,74191,35.3,61,
Glen Rock,Winter,15,15,899900,999999,6.5,85000,9.12,77053,13.3,59,
Green Brook,Fall,35,35,565000,606000,0.6,2100,2.1,2191,45.7,68,
Green Brook,Spring,46,46,589375,612500,1.73,10125,2.38,13410,37.0,60,
Green Brook,Summer,21,21,598000,596000,1.36,15000,3.39,15667,42.9,77,
Green Brook,Winter,35,35,489900,500000,2.35,11000,2.71,19018,40.0,67,
Hanover Township,Fall,19,19,700000,730000,4.74,30000,6.21,48926,31.6,65,
Hanover Township,Spring,32,32,645000,690000,6.03,50000,7.71,47885,31.2,52,
Hanover Township,Summer,18,18,589900,642500,2.19,11550,4.25,27301,22.2,47,
Hanover Township,Winter,12,11,724900,775000,2.89,20000,4.11,31441,18.2,54,
Livingston,Fall,61,61,1100000,1100000,1.42,15000,3.69,37396,42.6,74,
Livingston,Spring,114,114,1024999,1200000,5.68,50050,7.66,70722,28.9,62,
Livingston,Summer,70,70,999000,1117500,0.7,5500,3.37,21661,45.7,62,
Livingston,Winter,58,58,1174500,1266000,0.53,7500,3.59,34419,48.3,81,
Long Valley,Fall,32,32,750000,742500,1.26,10050,2.26,10759,37.5,62,
Long Valley,Spring,59,59,699900,755000,4.67,31000,4.13,27619,25.4,59,
Long Valley,Summer,37,37,725000,750000,1.84,13100,2.23,11394,32.4,67,
Long Valley,Winter,24,24,734500,677500,0.01,50,1.12,5996,50.0,83,
Madison,Fall,38,38,1225000,1262500,5.03,57500,6.96,76995,36.8,72,
Madison,Spring,74,73,1199000,1387000,8.1,106000,11.4,126504,19.2,65,
Madison,Summer,32,32,897000,1040000,5.14,37550,6.44,50103,18.8,60,
Madison,Winter,30,30,992000,1257500,4.05,47125,8.43,91791,30.0,66,
Maplewood,Fall,68,68,809500,900000,8.17,53500,10.92,97322,29.4,57,
Maplewood,Spring,156,154,884950,1103750,15.55,129000,17.28,165062,9.1,57,
Maplewood,Summer,62,62,869500,1057500,9.47,80500,12.08,113106,14.5,51,
Maplewood,Winter,67,67,899000,1030000,11.51,110000,13.91,137675,11.9,50,
Martinsville,Fall,11,11,775000,805000,0.0,0,2.48,14609,54.5,81,
Martinsville,Spring,25,25,799000,825000,3.7,41000,4.32,32681,28.0,60,
Martinsville,Summer,6,6,1022500,1092500,0.92,6500,2.24,21500,16.7,82,yes
Martinsville,Winter,10,10,1082000,1082500,-0.23,-4500,-0.18,-19600,60.0,62,
Mendham,Fall,34,34,1149500,1155000,-2.27,-27000,-1.76,-25553,73.5,83,
Mendham,Spring,74,74,1109495,1143750,3.53,26000,4.41,32585,39.2,64,
Mendham,Summer,33,33,1250000,1250000,0.0,0,2.04,13390,60.6,79,
Mendham,Winter,41,41,1199000,1269000,0.11,1000,1.64,4797,48.8,69,
Metuchen,Fall,11,11,700000,700000,4.48,30000,6.16,45455,36.4,76,
Metuchen,Spring,19,19,825000,927000,12.36,78000,10.41,77023,10.5,58,
Metuchen,Summer,12,12,670000,714000,1.33,9050,4.18,30258,41.7,58,
Metuchen,Winter,14,14,650000,715000,5.53,35000,5.49,41431,21.4,57,
Millburn,Fall,10,9,1450000,1550000,6.29,35001,5.06,55778,22.2,53,yes
Millburn,Spring,41,41,1388000,1530000,9.78,112000,8.9,108846,26.8,62,
Millburn,Summer,21,21,1175000,1300000,4.35,31000,6.29,66291,38.1,64,
Millburn,Winter,15,15,899000,1121000,6.3,25000,6.51,51059,40.0,68,
Millington,Fall,5,5,988000,930000,-2.9,-29999,-3.18,-27600,100.0,105,yes
Millington,Spring,22,22,827000,866000,5.35,40000,6.56,54686,9.1,56,
Millington,Summer,12,12,917450,937500,4.63,40000,4.69,50600,25.0,50,
Millington,Winter,4,4,1039000,1012250,-0.47,-4250,-0.63,-5625,50.0,141,yes
Montclair,Fall,80,76,1107500,1290000,14.9,111700,15.75,177029,25.0,58,
Montclair,Spring,215,185,1099000,1400000,21.22,241000,21.43,257985,5.9,59,
Montclair,Summer,85,84,899000,1052500,12.57,140500,14.18,150094,15.5,55,
Montclair,Winter,69,60,1024500,1194500,12.23,119500,16.7,172969,21.7,56,
Montville,Fall,28,28,699900,740000,-1.03,-7000,-0.03,-5957,57.1,93,
Montville,Spring,62,62,814450,906500,5.23,42550,5.85,48892,19.4,70,
Montville,Summer,28,28,779450,806908,4.88,30408,5.51,40884,17.9,57,
Montville,Winter,30,30,649000,699000,2.61,23500,3.37,25090,36.7,62,
Morris Plains,Fall,51,51,729900,735000,0.67,5100,2.42,14384,41.2,69,
Morris Plains,Spring,88,88,696500,731500,6.0,33003,6.37,46682,17.0,58,
Morris Plains,Summer,48,48,709500,747500,2.93,15054,3.95,29711,39.6,58,
Morris Plains,Winter,49,48,737000,740000,2.67,22500,4.22,33277,29.2,60,
Morristown,Fall,84,83,775000,800000,3.02,20000,3.93,33871,32.5,69,
Morristown,Spring,189,189,825000,902000,5.43,50000,6.97,63990,28.0,57,
