town,season,dist_mi_from_westfield,sales,sales_with_list_price,median_sold_price,median_list_price,median_sold_vs_ask_pct,mean_sold_vs_ask_pct,median_dom,pct_at_or_under_ask,outliers_excluded_from_mean
Franklin Lakes,Fall,24,83,19,1550000,999000,0.0,2.01,95,52.6,0
Garwood,Winter,2,41,22,650000,654400,1.67,3.73,68,31.8,0
Garwood,Spring,2,42,24,677500,663400,0.19,2.25,58,45.8,0
Garwood,Summer,2,73,40,691000,682000,5.2,4.79,61,25.0,0
Garwood,Fall,2,38,26,655000,627250,5.01,5.28,58,11.5,0
Gillette,Winter,10,21,15,510500,499000,2.3,3.39,60,33.3,0
Gillette,Spring,10,32,21,662500,629000,2.24,5.67,62,38.1,0
Gillette,Summer,10,58,39,652500,649000,4.32,3.53,64,35.9,0
Gillette,Fall,10,35,26,640000,642250,0.1,2.36,71,50.0,0
Glen Ridge,Winter,14,50,32,1060000,899000,23.91,19.35,63,12.5,2
Glen Ridge,Spring,14,83,62,1197000,849000,24.78,20.46,62,9.7,11
Glen Ridge,Summer,14,156,117,1108625,899000,24.26,21.04,58,11.1,9
Glen Ridge,Fall,14,69,40,973000,779450,15.04,15.27,56,10.0,4
Glen Rock,Winter,22,78,20,999500,914000,9.97,9.86,75,10.0,0
Glen Rock,Spring,22,93,31,999000,899000,11.28,12.29,54,12.9,0
Glen Rock,Summer,22,148,70,978000,944000,9.69,10.24,61,21.4,0
Glen Rock,Fall,22,104,44,965000,924000,7.16,9.25,58,15.9,0
Green Brook,Winter,9,112,83,523500,525000,0.37,1.27,70,47.0,0
Green Brook,Spring,9,134,87,530000,519999,1.96,3.56,67,39.1,0
Green Brook,Summer,9,169,112,570000,550000,2.72,3.74,70,27.7,1
Green Brook,Fall,9,126,93,550000,530000,1.84,3.22,64,38.7,0
Haledon,Winter,22,13,2,400000,399500,6.14,6.14,,50.0,0
Haledon,Spring,22,11,3,430000,530000,11.32,11.22,51,0.0,0
Haledon,Summer,22,36,15,535000,490000,6.86,6.33,54,13.3,0
Haledon,Fall,22,40,12,586250,599500,0.87,3.62,79,41.7,0
Hanover Township,Winter,13,59,27,700000,724900,4.56,6.23,48,11.1,0
Hanover Township,Spring,13,65,34,630000,644500,5.68,6.7,52,26.5,1
Hanover Township,Summer,13,122,55,702500,699000,5.55,6.97,54,18.2,0
Hanover Township,Fall,13,106,53,650000,624900,3.24,5.02,56,30.2,0
Livingston,Winter,12,260,118,1090000,1075000,0.0,1.89,79,50.8,0
Livingston,Spring,12,298,145,1150000,985000,4.29,7.09,60,34.5,0
Livingston,Summer,12,615,289,1075000,1019000,3.85,5.51,65,34.6,0
Livingston,Fall,12,330,151,999000,999000,1.0,3.98,68,43.7,0
Long Valley,Winter,29,93,56,699000,699450,0.01,0.42,86,48.2,0
Long Valley,Spring,29,113,65,705500,650000,5.44,5.84,57,30.8,0
Long Valley,Summer,29,192,139,761500,729000,4.67,4.42,62,22.3,0
Long Valley,Fall,29,124,84,657500,623950,2.75,4.31,62,28.6,0
Madison,Winter,17,107,67,989000,999000,0.0,4.17,78,49.3,0
Madison,Spring,17,122,84,1213056,1162500,6.88,9.94,59,25.0,1
Madison,Summer,17,227,147,1050000,1082000,6.18,8.04,68,25.2,0
Madison,Fall,17,117,76,922000,909000,3.7,5.65,57,26.3,0
Maplewood,Winter,11,199,124,775000,799000,5.77,8.58,58,26.6,1
Maplewood,Spring,11,252,172,1032500,899000,15.07,16.57,49,10.5,2
Maplewood,Summer,11,404,288,945000,850000,11.85,14.23,61,14.6,2
Maplewood,Fall,11,236,155,772500,799000,6.0,8.02,57,28.4,0
Martinsville,Winter,13,35,24,760000,765000,0.04,1.88,81,45.8,0
Martinsville,Spring,13,26,19,805000,769000,0.0,2.29,58,52.6,0
Martinsville,Summer,13,67,51,825000,869000,3.85,4.6,65,25.5,0
Martinsville,Fall,13,43,29,750000,732000,2.67,3.1,64,31.0,0
Mendham,Winter,22,72,53,1069000,1199000,-1.42,-0.7,71,67.9,0
Mendham,Spring,22,95,77,995000,900000,4.29,4.71,57,36.4,0
Mendham,Summer,22,161,135,1050000,1099990,1.47,2.77,70,45.2,0
Mendham,Fall,22,87,65,880000,995000,0.0,0.28,69,60.0,0
Mendham Township,Winter,16,12,8,944300,1199500,0.88,1.55,76,37.5,0
Mendham Township,Spring,16,24,13,1275000,1250000,2.0,2.24,70,38.5,0
Mendham Township,Summer,16,43,15,1175000,899900,3.03,1.8,65,33.3,0
Mendham Township,Fall,16,44,16,1249500,1039000,0.0,0.89,71,56.2,0
Metuchen,Winter,9,127,87,649000,670000,2.89,4.46,73,31.0,0
Metuchen,Spring,9,141,90,630000,625000,5.67,5.54,60,30.0,0
Metuchen,Summer,9,249,161,700000,699000,4.5,5.83,61,26.7,0
Metuchen,Fall,9,161,96,640000,649900,3.21,4.77,60,22.9,0
Millburn,Winter,7,48,26,997492,992495,1.59,5.61,63,34.6,0
Millburn,Spring,7,70,47,1282500,1188888,9.78,10.11,52,25.5,1
Millburn,Summer,7,137,88,1385000,1312500,6.86,8.58,62,26.1,0
Millburn,Fall,7,71,46,1100000,1053500,3.11,4.62,63,37.0,0
Millington,Winter,11,13,8,750000,962500,-0.56,1.78,81,62.5,0
Millington,Spring,11,24,16,822250,802000,5.28,4.61,50,18.8,0
Millington,Summer,11,53,40,780000,787000,5.85,6.03,54,22.5,0
Millington,Fall,11,23,15,925000,925000,1.62,4.0,69,20.0,0
Montclair,Winter,15,279,131,999000,899000,15.28,14.81,68,21.4,9
Montclair,Spring,15,325,189,1130000,999000,23.17,20.05,50,9.5,29
Montclair,Summer,15,625,407,1250000,999000,21.86,19.14,64,11.1,43
Montclair,Fall,15,317,166,978000,925000,15.67,15.68,56,15.7,15
Montville,Winter,23,136,64,680000,699900,0.71,1.48,75,46.9,0
Montville,Spring,23,139,78,765000,699900,6.71,5.94,64,23.1,0
Montville,Summer,23,245,125,781000,799000,5.19,6.3,67,20.0,0
Montville,Fall,23,150,77,722500,689000,5.78,5.43,61,26.0,0
Morris Plains,Winter,21,198,93,652500,649000,1.78,3.01,69,37.6,1
Morris Plains,Spring,21,167,100,685000,650000,4.51,5.68,53,24.0,0
Morris Plains,Summer,21,341,196,715000,679000,5.28,6.05,58,25.0,0
Morris Plains,Fall,21,194,119,707500,650000,4.65,5.32,64,26.9,0
Morris Township,Winter,19,53,31,670000,675000,0.09,2.16,64,45.2,0
Morris Township,Spring,19,53,21,825000,899900,2.91,4.04,51,28.6,0
Morris Township,Summer,19,172,96,832500,799000,7.61,7.68,61,21.9,0
Morris Township,Fall,19,129,66,750000,799000,3.38,5.05,63,30.3,0
Morristown,Winter,19,278,160,783500,732000,1.3,2.79,72,43.1,0
Morristown,Spring,19,334,220,811500,799450,5.04,6.31,54,27.7,0
Morristown,Summer,19,492,328,805000,774950,3.94,5.61,66,32.9,0
Morristown,Fall,19,296,180,776329,787000,2.7,3.84,66,38.3,1
Mountain Lakes,Winter,23,36,14,870000,1037500,-0.84,0.2,90,78.6,0
