town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Metuchen,Winter,15,15,670000,705000,5.13,30000,5.16,39673,26.7,55,
Millburn,Fall,32,31,1057000,1110000,3.26,35000,5.74,56898,32.3,55,
Millburn,Spring,59,59,1295000,1500000,10.13,130000,10.7,120646,16.9,60,
Millburn,Summer,68,68,1195000,1326250,4.85,50000,6.77,80203,33.8,62,
Millburn,Winter,24,24,923944,1060000,6.86,57444,8.78,75833,33.3,60,
Millington,Fall,10,10,956500,935000,-0.56,-7500,0.89,10800,60.0,84,
Millington,Spring,29,29,849000,875000,6.32,45000,6.31,51645,13.8,57,
Millington,Summer,25,25,885000,880000,4.14,36000,3.91,40132,28.0,54,
Millington,Winter,7,7,749000,755000,0.8,6000,1.77,10643,42.9,126,yes
Montclair,Fall,173,156,899000,1162500,16.09,126000,17.6,178306,17.3,56,
Montclair,Spring,304,258,1084500,1368000,21.8,240000,21.29,252597,7.8,64,
Montclair,Summer,208,196,912500,1101500,13.84,121500,15.92,158339,16.3,56,
Montclair,Winter,98,85,975000,1100000,14.09,101000,16.32,156153,18.8,57,
Montville,Fall,52,52,649450,670000,1.12,8100,1.89,-655,42.3,75,
Montville,Spring,86,86,829000,909000,5.23,44500,5.46,49609,20.9,70,
Montville,Summer,50,50,775000,798000,4.26,29805,5.24,31243,28.0,65,
Montville,Winter,39,39,649000,698000,1.98,12000,2.69,19082,43.6,68,
Morris Plains,Fall,109,109,647900,667000,2.44,15143,3.68,22632,30.3,63,
Morris Plains,Spring,125,125,685000,734006,5.58,35000,5.9,42624,20.8,57,
Morris Plains,Summer,151,151,679000,721440,5.01,30000,5.95,41311,28.5,57,
Morris Plains,Winter,67,66,682000,706508,2.66,15550,3.96,30294,31.8,58,
Morris Township,Fall,50,50,730000,760000,3.1,23056,4.44,37440,26.0,56,
Morris Township,Spring,43,43,835000,910000,8.68,71000,8.39,74643,16.3,68,
Morris Township,Summer,87,87,788000,850000,5.42,35100,6.6,52588,29.9,62,
Morris Township,Winter,16,16,800000,793000,0.56,4000,1.59,10406,43.8,64,
Morristown,Fall,175,174,775000,796500,2.15,15000,3.58,25465,37.4,65,
Morristown,Spring,258,258,799000,834500,5.08,40000,6.79,58810,29.5,61,
Morristown,Summer,205,205,750000,776329,3.33,21000,4.81,36727,35.6,65,
Morristown,Winter,141,141,745000,776500,2.07,11000,4.2,28849,37.6,68,
Mountain Lakes,Fall,22,22,1020000,979500,-0.84,-9000,0.27,-3178,63.6,73,
