county,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
MIDDLESEX,Oct,10,510,322,549000,575000,2.35,11250,3.03,13755,32.9,69,
MIDDLESEX,Nov,11,480,285,569000,580000,2.05,11000,3.24,16551,34.0,69,
MIDDLESEX,Dec,12,478,285,560000,580000,1.76,10000,2.76,15021,37.9,69,
MORRIS,Jan,1,583,326,764450,785000,0.64,5000,2.12,12638,43.3,80,
MORRIS,Feb,2,501,268,704500,735000,0.22,1050,2.46,17663,45.5,76,
MORRIS,Mar,3,567,352,737000,779950,3.43,21500,5.07,45890,36.1,58,
MORRIS,Apr,4,677,434,799000,825000,5.02,35100,6.58,54784,26.0,57,
MORRIS,May,5,836,545,825000,875000,6.19,50000,7.28,65040,23.9,57,
MORRIS,Jun,6,1019,698,799000,850000,5.18,39000,6.1,57221,25.9,62,
MORRIS,Jul,7,1129,677,799000,840000,5.1,40000,6.0,51735,26.1,64,
MORRIS,Aug,8,1008,637,750000,793000,4.28,27100,5.38,42740,28.7,64,
MORRIS,Sep,9,749,464,750000,798000,3.55,21000,4.23,27499,35.6,68,
MORRIS,Oct,10,756,453,750000,800000,2.97,20000,4.08,29253,36.2,62,
MORRIS,Nov,11,708,426,719500,755000,2.52,16500,3.83,30119,35.0,63,
MORRIS,Dec,12,766,464,750000,782000,0.79,5000,3.03,20957,44.6,68,
SOMERSET,Jan,1,350,209,625000,665000,0.95,5000,2.22,4663,44.5,71,
SOMERSET,Feb,2,288,183,590000,575000,0.0,0,1.61,5884,53.6,73,
SOMERSET,Mar,3,307,207,610000,635000,1.96,15000,3.0,19787,38.6,61,
SOMERSET,Apr,4,377,249,663000,675000,3.65,24000,5.2,34692,30.5,59,
SOMERSET,May,5,471,328,675000,703000,3.81,25050,4.96,34639,28.7,58,
SOMERSET,Jun,6,526,401,699000,730000,4.5,30000,5.0,35970,22.9,60,
SOMERSET,Jul,7,670,438,750000,780000,4.15,25044,4.33,29913,27.6,62,
SOMERSET,Aug,8,625,382,699000,722500,2.58,19500,3.86,28622,32.2,64,
SOMERSET,Sep,9,494,332,692450,710800,2.83,15750,3.34,19144,33.4,60,
SOMERSET,Oct,10,487,302,649500,659000,1.81,10050,2.95,16358,41.1,64,
SOMERSET,Nov,11,451,271,675000,711000,1.25,6000,2.41,6629,43.9,62,
SOMERSET,Dec,12,454,294,655000,675000,0.24,1500,1.73,4768,45.6,63,
UNION,Jan,1,394,221,789000,815000,3.05,20000,4.65,42842,40.7,71,
UNION,Feb,2,298,176,789950,828250,4.14,26500,4.8,43129,32.4,70,
UNION,Mar,3,400,247,799900,875000,5.23,34900,7.07,67823,27.1,55,
UNION,Apr,4,454,286,861950,950000,6.12,51000,8.14,79131,19.6,53,
UNION,May,5,573,385,849900,925000,7.79,60990,8.77,84865,23.1,53,
UNION,Jun,6,706,502,875000,950500,7.56,62000,8.75,88310,18.1,60,
UNION,Jul,7,767,462,857500,935000,6.25,51000,7.74,71105,19.7,61,
UNION,Aug,8,766,494,850000,918000,5.38,45000,6.76,66655,23.5,62,
UNION,Sep,9,501,300,849000,880000,3.91,30100,5.2,48004,33.3,61,
UNION,Oct,10,498,280,779000,826000,3.97,26556,5.31,47073,28.9,57,
UNION,Nov,11,466,281,795000,830000,3.85,27000,6.02,54354,31.0,57,
UNION,Dec,12,497,296,826500,860000,3.71,20050,5.13,44690,33.4,60,
